time (s)	coil I (A)	last det (V)	int current (uC)
3574.878774	0.349957	-108.496094	505.371094
3574.880775	0.349123	3.840356	1.175798
3575.948793	0.351406	-338.476562	4.882812
3575.950795	0.350210	3.852311	1.229431
3576.966812	0.350883	-107.226562	497.949219
3576.968812	0.349706	3.846763	1.186960
3578.036836	0.331653	-348.242187	2.050781
3578.038836	0.350218	-348.242187	2.050781
3578.040836	0.349209	3.841295	1.258907
3579.057765	0.348084	-122.753906	405.664062
3579.059766	0.349990	3.849891	1.112879
3580.126697	0.351254	-317.871094	-1.074219
3580.128699	0.349999	3.849989	1.313576
3581.148744	0.291550	-126.367187	382.421875
3581.150747	0.351274	-126.367187	382.421875
3581.152746	0.350084	3.850919	1.099594
3582.216764	0.351092	-333.886719	-2.734375
3582.218766	0.350023	3.850255	1.321834
3583.241276	0.289838	-113.378906	469.140625
3583.243279	0.350623	-113.378906	469.140625
3583.245277	0.349421	3.843626	1.028234
3584.305317	0.350727	-313.378906	-4.394531
3584.307319	0.349545	3.845000	1.424512
3585.331346	0.297822	-125.488281	404.492187
3585.333349	0.350853	-125.488281	404.492187
3585.335349	0.349727	3.847002	1.083455
3586.394349	0.346071	-324.316406	-4.882812
3586.396351	0.350014	-324.316406	-4.882812
3586.398350	0.348990	3.838893	1.316797
3587.424366	0.350704	-127.246094	394.335937
3587.426369	0.349497	3.844468	1.018034
3588.484399	0.347858	-324.023437	-5.273437
3588.486400	0.350570	3.856272	1.347862
3589.512424	0.337898	-114.257812	486.718750
3589.514426	0.350277	-114.257812	486.718750
3589.518423	0.348622	3.834843	1.016807
3590.576460	0.349533	-307.128906	-4.980469
3590.578463	0.348709	3.835800	1.377174
3591.604515	0.352388	-128.027344	403.613281
3591.606516	0.351345	3.864798	1.012654
3592.662510	2.856534	-324.804687	-6.054687
3592.664512	0.351004	-324.804687	-6.054687
3592.666511	0.349777	3.847543	1.423877
3593.694554	0.350536	-130.664062	389.746094
3593.696557	0.349562	3.845186	1.064260
3594.754596	0.350242	-333.691406	-5.664062
3594.756598	0.350329	3.853622	1.360166
3595.783139	0.351208	-122.363281	437.402344
3595.785141	0.350155	3.851708	1.082718
3596.845668	0.348337	-342.968750	-4.687500
3596.847669	0.350136	3.851496	1.355491
3597.871698	0.350686	-117.285156	466.601562
3597.873698	0.349607	3.845673	1.118301
3598.937713	0.343261	-319.628906	-3.613281
3598.939715	0.350465	-319.628906	-3.613281
3598.941715	0.349474	3.844211	1.359054
3599.959741	0.322169	-114.550781	481.640625
3599.961743	0.351053	-114.550781	481.640625
3599.965742	0.349354	3.842890	1.113813
3601.029797	0.351312	-317.089844	-3.125000
3601.031800	0.351378	3.865161	1.312261
3602.047854	0.267394	-121.875000	448.339844
3602.049854	0.350654	-121.875000	448.339844
3602.051855	0.349412	3.843537	1.178123
3603.120400	0.327370	-338.085937	-0.195312
3603.122402	0.350686	-338.085937	-0.195312
3603.128399	0.348451	3.832956	1.341073
3604.139003	0.349730	-119.238281	476.660156
3604.141004	0.349947	3.849413	1.176273
3605.211054	0.350195	-327.246094	1.367187
3605.213056	0.351253	3.863779	1.292626
3606.229117	0.343632	-126.464844	459.765625
3606.231118	0.350226	-126.464844	459.765625
3606.233118	0.349336	3.842695	1.223718
3607.300085	0.350381	-334.082031	3.613281
3607.302087	0.350632	3.856955	1.293393
3608.322106	0.350378	-112.988281	534.375000
3608.324108	0.350252	3.852772	1.259839
3609.382149	0.349451	-343.847656	7.324219
3609.384151	0.348589	3.834480	1.271958
3610.416692	0.341017	-123.339844	509.765625
3610.418695	0.350289	-123.339844	509.765625
3610.420695	0.349372	3.843094	1.292850
3611.472711	0.262284	-332.812500	7.519531
3611.474713	0.350705	-332.812500	7.519531
3611.478712	0.348696	3.835659	1.197627
3612.508741	0.313409	-131.347656	489.648437
3612.510743	0.350351	-131.347656	489.648437
3612.512742	0.349206	3.841268	1.436170
3613.561253	0.351937	-315.332031	6.640625
3613.563254	0.350971	3.860686	1.166613
3614.603235	0.324701	-123.925781	522.753906
3614.605237	0.350641	-123.925781	522.753906
3614.607238	0.349532	3.844849	1.356060
3615.645292	0.316482	-328.808594	4.492187
3615.647294	0.350433	-328.808594	4.492187
3615.649296	0.349297	3.842270	1.220511
3616.697332	0.351036	-128.125000	509.667969
3616.699331	0.350114	3.851256	1.328136
3617.733392	0.347037	-335.253906	0.000000
3617.735394	0.350171	3.851886	1.301305
3618.791945	0.349152	-141.015625	452.929687
3618.793948	0.349133	3.840462	1.369793
3619.822479	0.350634	-312.207031	-3.515625
3619.824481	0.352089	3.872978	1.301657
3620.878556	0.351591	-138.671875	454.785156
3620.880555	0.350797	3.858763	1.267157
3621.915107	0.352095	-327.148437	-6.250000
3621.917110	0.350871	3.859578	1.382614
3622.971669	0.350129	-124.511719	512.011719
3622.975671	0.349047	3.839514	1.244811
3624.003727	0.343852	-319.335937	-8.691406
3624.005729	0.349856	-319.335937	-8.691406
3624.007728	0.348877	3.837644	1.411005
3625.057738	0.352522	-134.082031	470.800781
3625.059739	0.351191	3.863096	1.260249
3626.093777	0.276920	-333.789062	-9.765625
3626.095776	0.351376	-333.789062	-9.765625
3626.097775	0.350187	3.852054	1.501386
3627.147792	0.350808	-138.476562	450.878906
3627.149792	0.349586	3.845443	1.269279
3628.184356	0.347460	-318.457031	-9.765625
3628.186355	0.350549	3.856042	1.404434
3629.236385	0.319691	-132.324219	479.394531
3629.238387	0.350691	-132.324219	479.394531
3629.240387	0.349664	3.846303	1.261020
3630.274425	0.350810	-330.761719	-9.960937
3630.276426	0.350350	3.853853	1.472762
3631.328962	0.350517	-141.113281	448.535156
3631.332963	0.348691	3.835605	1.274754
3632.363504	0.305698	-308.496094	-9.082031
3632.365506	0.350532	-308.496094	-9.082031
3632.367506	0.349420	3.843617	1.442018
3633.419523	0.350357	-135.742187	475.097656
3633.421525	0.350689	3.857575	1.257752
3634.453526	0.339405	-334.667969	-7.910156
3634.457528	0.349160	-334.667969	-7.910156
3634.459528	0.348471	3.833186	1.384643
3635.509536	0.350541	-143.261719	454.101562
3635.513537	0.349639	3.846028	1.311955
3636.544433	0.351200	-305.273437	-4.101562
3636.546434	0.350016	3.850175	1.407793
3637.598419	0.349307	-130.371094	504.980469
3637.600423	0.349907	3.848979	1.354605
