time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
4070.901612	0.086344	0.005457	0.015822	215
4071.965671	0.843399	0.005435	0.155169	216
4072.985672	0.102769	0.005455	0.018839	217
4074.055702	0.634583	0.005453	0.116368	218
4075.081755	0.661020	0.005466	0.120929	219
4076.138409	0.295291	0.005460	0.054078	220
4077.180897	0.719796	0.005435	0.132427	221
4078.221771	0.130499	0.005455	0.023923	222
4079.273759	0.546677	0.005451	0.100283	223
4080.309907	0.357476	0.005461	0.065465	224
4081.361899	0.676674	0.005460	0.123926	225
4082.403100	0.522246	0.005446	0.095901	226
4083.451808	0.494881	0.005450	0.090797	227
4084.493995	0.596299	0.005453	0.109351	228
4085.544965	0.545243	0.005452	0.100005	229
4086.583045	0.516376	0.005450	0.094747	230
4087.637956	0.556845	0.005444	0.102280	231
4088.671158	0.185535	0.005462	0.033971	232
4089.727201	0.822752	0.005440	0.151231	233
4090.762011	0.175623	0.005436	0.032305	234
4091.815056	0.865245	0.005447	0.158843	235
4092.855764	0.401938	0.005455	0.073681	236
4093.897032	0.753721	0.005445	0.138415	237
4094.955797	0.624221	0.005444	0.114661	238
4095.978924	0.344398	0.005467	0.062996	239
4097.046962	0.957833	0.005461	0.175407	240
4098.073088	0.072402	0.005444	0.013300	241
4099.128971	0.916928	0.005464	0.167808	242
4100.174993	0.566525	0.005461	0.103731	243
4101.210965	0.422786	0.005450	0.077582	244
4102.265098	0.898606	0.005452	0.164830	245
4103.314086	0.451099	0.005498	0.082050	246
4104.340668	0.540887	0.005446	0.099315	247
4105.410691	0.955581	0.005456	0.175141	248
4106.430677	0.225229	0.005460	0.041254	249
4107.492625	0.958785	0.005447	0.176019	250
4108.534716	0.493519	0.005453	0.090498	251
4109.570543	1.152843	0.005438	0.211991	252
4110.628798	0.878713	0.005448	0.161298	253
4111.668998	0.427250	0.005437	0.078580	254
4112.707369	0.731162	0.005461	0.133898	255
4113.775529	0.635883	0.005437	0.116956	0
4114.792064	0.281883	0.005453	0.051689	1
4115.858958	1.152523	0.005455	0.211292	2
4116.887014	0.322268	0.005450	0.059132	3
4117.939069	1.048165	0.005462	0.191891	4
4118.986889	0.617588	0.005446	0.113398	5
4120.025103	0.671591	0.005443	0.123391	6
4121.079072	0.955140	0.005461	0.174903	7
4122.115103	0.444358	0.005451	0.081516	8
4123.168010	1.043337	0.005463	0.190981	9
4124.205997	0.442296	0.005451	0.081144	10
4125.256068	1.066401	0.005450	0.195682	11
4126.300963	0.485250	0.005436	0.089271	12
4127.345135	1.015318	0.005457	0.186071	13
4128.391135	0.456716	0.005435	0.084037	14
4129.435183	0.977880	0.005458	0.179172	15
4130.479165	0.475293	0.005450	0.087207	16
4131.529199	1.086760	0.005455	0.199223	17
4132.568592	0.402520	0.005433	0.074082	18
4133.619822	1.078759	0.005464	0.197443	19
4134.653752	0.632675	0.005435	0.116400	20
4135.708405	0.950125	0.005460	0.174012	21
4136.746967	1.053226	0.005444	0.193455	22
4137.793101	0.630650	0.005466	0.115386	23
4138.845929	1.243814	0.005449	0.228272	24
4139.874137	0.162556	0.005446	0.029849	25
4140.944105	1.197600	0.005477	0.218673	26
4141.963910	0.523450	0.005443	0.096166	27
4143.033001	0.849782	0.005440	0.156217	28
4144.060247	1.090135	0.005468	0.199358	29
4145.108349	0.633440	0.005456	0.116107	30
4146.161460	1.130352	0.005457	0.207136	31
4147.194373	0.730830	0.005458	0.133912	32
4148.252274	0.776980	0.005448	0.142624	33
4149.296397	1.102938	0.005453	0.202268	34
4150.326442	0.501421	0.005451	0.091990	35
4151.394497	1.239105	0.005454	0.227194	36
4152.414077	0.651712	0.005445	0.119692	37
4153.481404	1.084065	0.005457	0.198670	38
4154.509393	1.040674	0.005448	0.191015	39
4155.565516	0.732175	0.005457	0.134184	40
4156.611957	1.177903	0.005454	0.215961	41
4157.647767	0.609275	0.005444	0.111917	42
4158.703780	1.053862	0.005448	0.193458	43
4159.736099	0.835291	0.005456	0.153086	44
4160.790091	0.888210	0.005474	0.162257	45
4161.835043	1.253912	0.005461	0.229626	46
4162.873530	0.372232	0.005453	0.068264	47
4163.928075	1.449330	0.005460	0.265434	48
4164.958089	0.590283	0.005459	0.108138	49
4166.024138	1.352100	0.005461	0.247581	50
4167.046221	0.639115	0.005445	0.117372	51
4168.118193	1.314098	0.005448	0.241212	52
4169.136225	0.521721	0.005456	0.095622	53
4170.203498	1.539060	0.005439	0.282956	54
4171.230841	0.461437	0.005441	0.084812	55
4172.296879	6.597718	0.005450	1.210652	56
4173.320737	0.470088	0.005449	0.086275	57
4174.380915	1.529602	0.005468	0.279746	58
4175.411082	0.677681	0.005443	0.124501	59
4176.468552	1.431861	0.005444	0.262994	60
4177.509123	0.837195	0.005449	0.153629	61
4178.553179	1.190141	0.005454	0.218221	62
4179.604095	1.130472	0.005444	0.207671	63
4180.636731	1.013794	0.005443	0.186250	64
4181.695048	1.329246	0.005450	0.243906	65
4182.730996	0.768250	0.005457	0.140792	66
4183.781197	1.298540	0.005453	0.238121	67
4184.832158	0.956049	0.005448	0.175495	68
4185.862661	1.115999	0.005446	0.204916	69
4186.929249	1.300931	0.005457	0.238408	70
4187.947206	0.698122	0.005457	0.127937	71
4189.017294	1.581543	0.005458	0.289774	72
4190.043283	0.736405	0.005447	0.135205	73
4191.097291	1.558580	0.005449	0.286037	74
4192.143914	1.078122	0.005449	0.197854	75
4193.179784	1.148414	0.005446	0.210889	76
4194.242063	1.289973	0.005433	0.237445	77
4195.272596	0.825452	0.005451	0.151420	78
4196.323033	1.509658	0.005447	0.277139	79
4197.368596	0.974907	0.005440	0.179203	80
4198.404141	1.481696	0.005451	0.271802	81
4199.469471	1.179787	0.005437	0.217009	82
4200.490707	1.131807	0.005459	0.207319	83
4201.559184	1.570396	0.005448	0.288246	84
4202.577767	0.892179	0.005455	0.163551	85
4203.652410	1.659823	0.005441	0.305048	86
4204.669268	0.852910	0.005454	0.156387	87
4205.736128	1.591353	0.005454	0.291777	88
4206.762280	0.793635	0.005446	0.145729	89
4207.826280	1.803915	0.005458	0.330517	90
4208.858981	0.749534	0.005429	0.138059	91
4209.915524	1.830766	0.005451	0.335851	92
4210.945681	0.894517	0.005444	0.164324	93
4212.004548	1.907542	0.005445	0.350302	94
4213.036935	0.935962	0.005451	0.171689	95
4214.093620	1.876942	0.005448	0.344519	96
4215.128534	0.734131	0.005432	0.135141	97
4216.185714	1.933784	0.005460	0.354174	98
4217.212628	0.856487	0.005446	0.157264	99
4218.281442	1.787618	0.005439	0.328674	100
4219.301190	0.871344	0.005444	0.160067	101
4220.369896	1.886808	0.005443	0.346644	102
4221.391834	0.974140	0.005456	0.178543	103
4222.460744	1.760891	0.005455	0.322820	104
4223.484181	1.233602	0.005470	0.225529	105
4224.550843	1.425752	0.005443	0.261961	106
4225.578912	1.376562	0.005444	0.252858	107
4226.634948	1.371730	0.005446	0.251867	108
4227.674855	1.567114	0.005442	0.287967	109
4228.714947	1.170608	0.005449	0.214828	110
4229.772740	1.642465	0.005437	0.302064	111
4230.802436	1.355718	0.005471	0.247789	112
4231.860478	1.483451	0.005466	0.271381	113
4232.896563	1.719487	0.005458	0.315046	114
4233.944592	1.091154	0.005447	0.200327	115
4234.994588	2.025435	0.005448	0.371753	116
4236.024659	1.020394	0.005469	0.186568	117
4237.090672	1.870299	0.005436	0.344036	118
4238.112847	1.098106	0.005468	0.200824	119
4239.182989	1.818406	0.005451	0.333584	120
4240.205372	1.434617	0.005455	0.263000	121
