time (s)	det(V)
6292.565661	0.081807	
6292.567662	0.079231	
6292.571659	0.079757	
6292.573661	0.075510	
6292.575661	0.074844	
6292.579661	0.075253	
6292.581661	0.081903	
6292.583662	0.083555	
6292.585661	0.087734	
6292.587662	0.079194	
6292.589661	0.088895	
6292.593659	0.083439	
6292.597661	0.084235	
6292.599661	0.087813	
6292.601663	0.089828	
6292.603663	0.085474	
6292.605663	0.084658	
6292.609661	0.090201	
6292.611664	0.084525	
6292.613664	0.086654	
6292.617664	0.084926	
6292.619664	0.090810	
6292.621665	0.087050	
6292.623664	0.092327	
6292.625663	0.092087	
6292.627664	0.090703	
6292.629664	0.094587	
6292.633664	0.085798	
6292.635664	0.087556	
6292.637663	0.084633	
6292.639664	0.090627	
6292.641664	0.091758	
6292.643664	0.087990	
6292.645663	0.094620	
6292.649662	0.092046	
6292.653662	0.081186	
6292.655663	0.078746	
6292.657665	0.084220	
6292.659667	0.081897	
6292.661666	0.081188	
6292.663665	0.078722	
6292.667664	0.075133	
6292.669665	0.065577	
6292.671664	0.060544	
6292.675665	0.060947	
6292.677665	0.058246	
6292.679665	0.060747	
6292.681666	0.053682	
6292.683665	0.050253	
6292.685665	0.046976	
6292.689666	0.033107	
6292.693665	0.024013	
6292.695666	0.017874	
6292.697667	0.012011	
6292.699665	0.003138	
6292.701667	-0.002837	
6292.705664	-0.018228	
6292.707666	-0.037862	
6292.709664	-0.050336	
6292.713665	-0.055681	
6292.715666	-0.079999	
6292.717664	-0.089383	
6292.719666	-0.104633	
6292.721665	-0.122077	
6292.723666	-0.131291	
6292.727666	-0.156736	
6292.731665	-0.190137	
6292.733665	-0.231950	
6292.735665	-0.250182	
6292.737666	-0.277962	
6292.739666	-0.301055	
6292.743663	-0.324675	
6292.745665	-0.384416	
6292.747665	-0.416164	
6292.751665	-0.452222	
6292.753666	-0.515796	
6292.755668	-0.554563	
6292.757666	-0.592799	
6292.759668	-0.640036	
6292.761669	-0.678971	
6292.763671	-0.732594	
6292.767669	-0.787145	
6292.769669	-0.896884	
6292.771670	-0.953383	
6292.773669	-1.013062	
6292.775670	-1.076162	
6292.777669	-1.146287	
6292.779669	-1.211066	
6292.781669	-1.286325	
6292.783672	-1.372424	
6292.787670	-1.454944	
6292.789669	-1.622499	
6292.791670	-1.634660	
6292.793669	-1.634795	
6292.795671	-1.634902	
6292.797669	-1.635056	
6292.799670	-1.635160	
6292.801670	-1.635314	
6292.805669	-1.635450	
6292.809669	-1.635717	
6292.811670	-1.636061	
6292.813669	-1.636132	
6292.815670	-1.636198	
6292.817670	-1.636295	
6292.821667	-1.636265	
6292.823669	-1.636337	
6292.825669	-1.636256	
6292.829669	-1.636276	
6292.831670	-1.636283	
6292.833668	-1.636076	
6292.835668	-1.636230	
6292.837669	-1.636236	
6292.841668	-1.636261	
6292.843669	-1.636253	
6292.845669	-1.636213	
6292.849669	-1.636257	
6292.851668	-1.636259	
6292.853670	-1.636261	
6292.855670	-1.636248	
6292.857670	-1.636253	
6292.859671	-1.636228	
6292.861672	-1.636246	
6292.865672	-1.636271	
6292.867671	-1.636267	
6292.869672	-1.636263	
6292.871672	-1.636281	
6292.873672	-1.636268	
6292.875671	-1.636279	
6292.877672	-1.636291	
6292.879671	-1.636282	
6292.883682	-1.636276	
6292.887683	-1.636307	
6292.889683	-1.636291	
6292.891683	-1.636284	
6292.893684	-1.636290	
6292.895684	-1.636306	
6292.899681	-1.636271	
6292.901684	-1.636296	
6292.903683	-1.636284	
6292.907682	-1.636253	
6292.909684	-1.636292	
6292.911683	-1.636263	
6292.913683	-1.636225	
6292.915683	-1.636065	
6292.919681	-1.635865	
6292.923681	-1.635413	
6292.925684	-1.634913	
6292.927681	-1.634682	
6292.929682	-1.508565	
6292.931683	-1.306700	
6292.933683	-1.113615	
6292.937682	-0.905541	
6292.939684	-0.504694	
6292.941683	-0.303792	
6292.945682	-0.099916	
6292.947683	0.314068	
6292.949686	0.509512	
6292.951685	0.708780	
6292.953684	0.900749	
6292.957682	1.100071	
6292.959686	1.478774	
6292.961684	1.618255	
6292.963684	1.624930	
6292.965686	1.624953	
6292.967686	1.624930	
6292.969687	1.624908	
6292.971686	1.624900	
6292.973686	1.624923	
6292.977684	1.624962	
6292.981684	1.624935	
6292.983686	1.624964	
6292.985685	1.624936	
6292.987688	1.624967	
6292.989687	1.624880	
6292.991686	1.624880	
6292.995684	1.624887	
6292.997687	1.624948	
6292.999687	1.625000	
6293.003686	1.625020	
6293.005686	1.624914	
6293.007686	1.624929	
6293.009687	1.624908	
6293.011688	1.624921	
6293.013687	1.624927	
6293.017689	1.624924	
6293.021689	1.624925	
6293.023691	1.624873	
6293.025690	1.624925	
6293.027691	1.624978	
6293.029689	1.624884	
6293.033687	1.624904	
6293.035690	1.624845	
6293.037692	1.625010	
6293.041690	1.624954	
6293.043694	1.624941	
6293.045691	1.624828	
6293.047695	1.624860	
6293.049693	1.624950	
6293.051694	1.624950	
6293.053696	1.624930	
6293.057700	1.624956	
6293.059700	1.624962	
6293.061702	1.624986	
6293.063700	1.624971	
6293.065700	1.624931	
6293.067701	1.624908	
6293.069702	1.624939	
6293.073698	1.624904	
6293.075700	1.624906	
6293.077701	1.624956	
6293.079701	1.624903	
6293.081705	1.624954	
6293.083715	1.624955	
6293.085715	1.624931	
6293.087714	1.624933	
6293.089715	1.624926	
6293.093712	1.624916	
6293.097713	1.624952	
6293.099715	1.624842	
6293.101714	1.624839	
6293.103715	1.624489	
6293.105714	1.603897	
6293.107714	1.522679	
6293.111713	1.440835	
6293.113714	1.286550	
6293.115714	1.210498	
6293.119713	1.145985	
6293.121715	1.021133	
6293.123715	0.965587	
6293.125714	0.908689	
6293.127714	0.852519	
6293.129717	0.809111	
6293.131717	0.754701	
6293.135719	0.702588	
6293.137719	0.615821	
6293.139718	0.588036	
6293.141717	0.553109	
6293.143719	0.516345	
6293.145719	0.488515	
6293.147718	0.457397	
6293.149716	0.427952	
6293.151717	0.399557	
6293.155717	0.369254	
6293.157717	0.326226	
6293.159717	0.304817	
6293.161718	0.291989	
6293.163718	0.275320	
6293.165718	0.253645	
6293.167719	0.238187	
6293.171716	0.224448	
6293.173718	0.188157	
6293.175719	0.175921	
6293.177719	0.162706	
6293.179719	0.159324	
6293.181720	0.147343	
6293.183721	0.135991	
6293.185720	0.129556	
6293.187720	0.115743	
6293.191718	0.112696	
6293.195718	0.088749	
6293.197721	0.080445	
6293.199720	0.074055	
6293.201720	0.072081	
6293.203720	0.065625	
6293.205720	0.058709	
6293.207721	0.059477	
6293.209720	0.050039	
6293.211723	0.044094	
6293.217719	0.033568	
6293.219720	0.033428	
6293.221719	0.027066	
6293.223721	0.028320	
6293.225721	0.022754	
6293.229718	0.022667	
6293.231720	0.010227	
6293.233721	0.007163	
6293.237720	0.006415	
6293.239721	0.007033	
6293.241720	0.010041	
6293.243720	0.005126	
6293.245722	0.008546	
6293.247720	0.005901	
6293.249721	-0.002657	
6293.253721	-0.004149	
6293.255723	-0.005358	
6293.257722	-0.003313	
6293.259722	-0.003529	
6293.261722	-0.000976	
6293.263723	-0.001959	
6293.265723	-0.004762	
6293.267723	-0.004292	
