crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	96.722771	4192	6649659904.000000
281474976710655.000000	57.887772	4193	6650732032.000000
281474976710655.000000	57.437771	4194	6651751424.000000
281474976710655.000000	92.849960	4195	6652822528.000000
281474976710655.000000	Inf	4196	6653840384.000000
281474976710655.000000	86.860580	4197	6654910976.000000
281474976710655.000000	180.961563	4198	6655929344.000000
281474976710655.000000	46.007092	4199	6657001984.000000
281474976710655.000000	63.129818	4200	6658020864.000000
281474976710655.000000	92.317062	4201	6659090432.000000
281474976710655.000000	47.152599	4202	6660110848.000000
281474976710655.000000	53.911720	4203	6661180416.000000
281474976710655.000000	43.001087	4204	6662202880.000000
281474976710655.000000	43.695602	4205	6663269888.000000
281474976710655.000000	96.445503	4206	6664295424.000000
281474976710655.000000	41.638515	4207	6665355264.000000
281474976710655.000000	87.952629	4208	6666386944.000000
281474976710655.000000	84.277023	4209	6667444224.000000
281474976710655.000000	59.686031	4210	6668481024.000000
281474976710655.000000	86.924545	4211	6669529600.000000
281474976710655.000000	60.308582	4212	6670573056.000000
281474976710655.000000	80.703079	4213	6671617536.000000
281474976710655.000000	87.336548	4214	6672666112.000000
281474976710655.000000	41.016224	4215	6673705984.000000
281474976710655.000000	89.286720	4216	6674758144.000000
281474976710655.000000	58.870548	4217	6675795456.000000
281474976710655.000000	43.647644	4218	6676847104.000000
281474976710655.000000	83.528160	4219	6677885440.000000
281474976710655.000000	87.879417	4220	6678936576.000000
281474976710655.000000	59.751629	4221	6679977472.000000
281474976710655.000000	91.838493	4222	6681026048.000000
281474976710655.000000	45.278599	4223	6682066944.000000
281474976710655.000000	84.802979	4224	6683115008.000000
281474976710655.000000	87.276505	4225	6684158464.000000
281474976710655.000000	Inf	4226	6685204992.000000
281474976710655.000000	176.943024	4227	6686248448.000000
281474976710655.000000	91.642624	4228	6687293440.000000
281474976710655.000000	90.042076	4229	6688337920.000000
281474976710655.000000	86.882668	4230	6689385472.000000
281474976710655.000000	44.142319	4231	6690427392.000000
281474976710655.000000	171.368362	4232	6691474944.000000
281474976710655.000000	42.719334	4233	6692515840.000000
281474976710655.000000	43.648834	4234	6693567488.000000
281474976710655.000000	55.433201	4235	6694605312.000000
281474976710655.000000	Inf	4236	6695658496.000000
281474976710655.000000	56.884205	4237	6696694784.000000
281474976710655.000000	87.334991	4238	6697747456.000000
281474976710655.000000	85.037849	4239	6698784768.000000
281474976710655.000000	88.785194	4240	6699836416.000000
281474976710655.000000	170.835358	4241	6700877312.000000
281474976710655.000000	90.521988	4242	6701922816.000000
281474976710655.000000	42.758598	4243	6702969856.000000
281474976710655.000000	Inf	4244	6704010240.000000
281474976710655.000000	56.127071	4245	6705062912.000000
281474976710655.000000	90.426414	4246	6706096128.000000
281474976710655.000000	84.681870	4247	6707158016.000000
281474976710655.000000	56.149654	4248	6708183040.000000
281474976710655.000000	170.646439	4249	6709250048.000000
281474976710655.000000	86.787453	4250	6710273024.000000
281474976710655.000000	83.644661	4251	6711341056.000000
281474976710655.000000	Inf	4252	6712361984.000000
281474976710655.000000	83.934242	4253	6713431552.000000
281474976710655.000000	172.788971	4254	6714450944.000000
281474976710655.000000	54.192436	4255	6715522560.000000
281474976710655.000000	174.387573	4256	6716540928.000000
281474976710655.000000	87.663628	4257	6717612032.000000
281474976710655.000000	86.369659	4258	6718630400.000000
281474976710655.000000	55.191097	4259	6719701504.000000
281474976710655.000000	85.822777	4260	6720720896.000000
281474976710655.000000	85.609070	4261	6721791488.000000
281474976710655.000000	80.570473	4262	6722812416.000000
281474976710655.000000	82.013573	4263	6723879936.000000
281474976710655.000000	56.385086	4264	6724903936.000000
281474976710655.000000	81.630959	4265	6725967872.000000
281474976710655.000000	86.447647	4266	6726995456.000000
281474976710655.000000	74.142960	4267	6728055808.000000
281474976710655.000000	54.811501	4268	6729088512.000000
281474976710655.000000	85.415718	4269	6730141696.000000
281474976710655.000000	43.856953	4270	6731182080.000000
281474976710655.000000	41.167240	4271	6732229632.000000
281474976710655.000000	85.652870	4272	6733274624.000000
281474976710655.000000	Inf	4273	6734316544.000000
281474976710655.000000	58.160351	4274	6735367168.000000
281474976710655.000000	77.160156	4275	6736404992.000000
281474976710655.000000	83.101883	4276	6737458688.000000
281474976710655.000000	79.465408	4277	6738493952.000000
281474976710655.000000	89.064476	4278	6739547648.000000
281474976710655.000000	81.492447	4279	6740583936.000000
281474976710655.000000	Inf	4280	6741637632.000000
281474976710655.000000	79.947006	4281	6742675456.000000
281474976710655.000000	88.453773	4282	6743727104.000000
281474976710655.000000	83.573158	4283	6744764928.000000
281474976710655.000000	84.938675	4284	6745816064.000000
281474976710655.000000	80.888847	4285	6746855424.000000
281474976710655.000000	77.280472	4286	6747905536.000000
281474976710655.000000	81.422768	4287	6748946432.000000
281474976710655.000000	55.348858	4288	6749995520.000000
281474976710655.000000	172.081558	4289	6751034880.000000
281474976710655.000000	84.614891	4290	6752086016.000000
281474976710655.000000	39.321800	4291	6753124864.000000
281474976710655.000000	42.799538	4292	6754177536.000000
281474976710655.000000	52.603508	4293	6755214336.000000
281474976710655.000000	84.622864	4294	6756268544.000000
281474976710655.000000	78.213898	4295	6757303296.000000
281474976710655.000000	79.713997	4296	6758358016.000000
281474976710655.000000	41.968708	4297	6759393792.000000
281474976710655.000000	83.848465	4298	6760446464.000000
281474976710655.000000	78.616241	4299	6761484800.000000
281474976710655.000000	83.757622	4300	6762534912.000000
281474976710655.000000	123.691856	4301	6763577344.000000
281474976710655.000000	68.252792	4302	6764622336.000000
281474976710655.000000	155.484650	4303	6765670400.000000
281474976710655.000000	83.848190	4304	6766708736.000000
281474976710655.000000	121.623978	4305	6767762944.000000
281474976710655.000000	38.951454	4306	6768795136.000000
281474976710655.000000	39.448521	4307	6769856512.000000
281474976710655.000000	126.133362	4308	6770883584.000000
281474976710655.000000	159.712234	4309	6771949056.000000
281474976710655.000000	81.454536	4310	6772972544.000000
281474976710655.000000	75.627258	4311	6774041088.000000
281474976710655.000000	82.507866	4312	6775060992.000000
281474976710655.000000	79.787231	4313	6776130560.000000
281474976710655.000000	55.059925	4314	6777149952.000000
281474976710655.000000	77.819336	4315	6778220544.000000
281474976710655.000000	51.400780	4316	6779239936.000000
281474976710655.000000	54.407780	4317	6780310528.000000
281474976710655.000000	40.109791	4318	6781329920.000000
281474976710655.000000	77.172905	4319	6782400512.000000
281474976710655.000000	54.250961	4320	6783421440.000000
281474976710655.000000	52.424255	4321	6784488960.000000
281474976710655.000000	159.983505	4322	6785512448.000000
281474976710655.000000	81.340446	4323	6786578432.000000
281474976710655.000000	81.905312	4324	6787603456.000000
281474976710655.000000	77.201012	4325	6788666880.000000
281474976710655.000000	78.683479	4326	6789696000.000000
281474976710655.000000	81.418648	4327	6790753280.000000
281474976710655.000000	52.259228	4328	6791788544.000000
281474976710655.000000	77.011963	4329	6792840192.000000
281474976710655.000000	164.845581	4330	6793881600.000000
281474976710655.000000	82.588104	4331	6794927616.000000
281474976710655.000000	80.063904	4332	6795974144.000000
281474976710655.000000	159.503387	4333	6797014528.000000
